"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2010","Number","965"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2011","Number","1517"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2012","Number","2206"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2013","Number","3625"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2014","Number","5508"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2015","Number","8493"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2016","Number","10345"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2017","Number","27"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2002","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2003","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2004","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2005","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2007","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2012","Number","2166"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2013","Number","3526"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2014","Number","5161"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2015","Number","7370"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2016","Number","10583"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2017","Number","10794"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2017","2018","Number","46"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2002","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2003","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2004","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2005","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2007","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2013","Number","3394"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2014","Number","4965"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2015","Number","6902"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2016","Number","9174"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2017","Number","10681"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2018","2018","Number","11721"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2002","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2003","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2004","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2005","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2007","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2019","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2002","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2003","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2004","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2005","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2007","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2020","2008","Number",""
